u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN
31.754,28.307,26.88,24.963,24.022,23.589,23.4178,0.2421883011753912,7911,6522,11.08028,2462708.4745303737,40.78508494847231,2.955356186948048,0.000115068509026,0.0214527341158807,0.0036346730184089
25.939,23.382,22.205,21.318,20.884,20.675,20.6458,0.3678350934093645,7593,7313,5.973732,2462944.7137123616,125.47469549586776,1.6314792941354173,0.0001097803703552,-0.0009736231615608,0.0022560592466622
29.832,26.573,25.175,23.605,22.841,22.503,22.3858,0.3578105659216998,7721,7071,8.208267,2462678.483172288,147.92644143433182,0.6168108182307962,6.482897269683131e-05,-0.0011075731788548,0.0034058263506041
30.323,26.993,25.582,23.925,23.12,22.762,22.6308,0.3297259747906977,7784,6510,6.41843,2461711.9763421197,179.15535261882505,1.8558131739420256,6.257178614397748e-05,-0.0019182918131154,0.0077519551563683
31.687,28.393,26.982,24.942,23.897,23.393,23.1888,0.2336970126635446,7232,4658,7.201239,2461865.598259735,423.6626163969672,2.261381299963188,1.7990953891965635e-05,-0.008127526074984,0.0041981359359033
16.044,15.062,15.221,15.412,15.556,15.587,16.2428,1.7565202498158268,7509,3179,12.61494,2462466.3074463103,77.70038798573277,2.55018814505873,0.0004053680313498,0.0626534521535622,0.0253626020702637
28.404,25.569,24.3,23.326,22.844,22.633,22.5828,0.2723661681384445,7686,6069,11.19207,2462992.3384497035,124.21160296649776,2.4034726698826607,4.329791788493423e-05,0.005259184538657,0.0074358403653994
18.349,17.184,16.862,16.806,16.826,16.832,17.2238,1.3401492290617625,7584,7133,5.313491,2462905.246899852,66.02731161421319,1.0296047686231224,0.0008555356049777,0.0083424082894085,0.0023952519271721
28.946,26.071,24.788,23.754,23.245,23.022,22.9688,0.2466909178647098,7602,7332,2.138352,2462102.0890328945,77.93496983207983,0.4925919830084144,0.000330750525384,0.0061104681245118,0.0086820402744751
30.452,27.163,25.757,24.15,23.368,23.022,22.8988,0.3452654812372508,7405,5264,8.858818,2462267.8648428507,252.94898341087824,0.6729035890926276,3.5343226682400725e-05,-0.0077960412700052,0.0044015631951255
27.066,24.539,23.372,22.488,22.057,21.847,21.8188,0.3759699727084929,7951,7843,3.937088,2461801.054900279,73.7650654396474,1.48101924336741,0.0002765619121419,0.0021659463404654,0.0002300752712174
30.136,26.796,25.383,23.715,22.904,22.543,22.4108,0.3316295036164739,5350,2259,2.269109,2461934.7681908105,1868.4418022260868,0.1313938353037796,2.483426215511677e-05,0.0125617696663207,0.0181019015262639
28.365,25.58,24.327,23.388,22.924,22.717,22.6718,0.2928553490294936,7799,4645,5.173009,2462454.498680421,518.2394244189197,2.618594357749055,2.3791804038900285e-05,-0.0046529443195841,0.0109112029274603
30.326,26.987,25.574,23.908,23.098,22.737,22.6048,0.3304860716630579,7731,3112,11.75893,2462408.2512459266,322.2846049157681,1.3560515974713776,1.9160063235870343e-05,0.0060041776009207,0.0175023428492041
30.048,26.848,25.463,23.965,23.234,22.912,22.8038,0.3968744683551372,7834,7622,4.776455,2461515.932305692,110.1198066432406,2.4776335514565098,0.000163600745708,0.0013585224768624,0.0020574341216329
29.447,26.562,25.275,24.23,23.714,23.489,23.4348,0.2399679054838882,7396,6419,1.172174,2461588.840682195,525.8713930842418,1.6522034623521118,8.940698381216157e-05,-0.0004631720947001,0.0121852759120785
27.31,24.797,23.634,22.751,22.321,22.111,22.0838,0.3807616155724682,6569,3404,5.100881,2462250.800884188,267.3618418738124,0.1866396051122092,7.21931677591337e-05,0.0152291001974579,0.0347143856598179
29.581,26.693,25.405,24.355,23.838,23.612,23.5578,0.2385905074527466,7266,5824,6.456895,2462905.1544606094,202.5200795489356,0.1654969194626478,4.265331301871379e-05,0.0023895016174152,0.0092132031000699
30.988,27.678,26.269,24.637,23.844,23.492,23.3648,0.3377949564084023,7273,5882,5.122376,2462993.324974141,90.0943762646996,2.4189499077039875,0.0001709453344506,-0.0041142716327374,0.0254031214580283
28.217,25.525,24.302,23.392,22.943,22.737,22.6978,0.3203709734676505,7441,3770,5.954695,2462283.18433158,223.35788432476463,1.8403489531202413,5.498546006875164e-05,0.0311131716873598,0.0179842849754237
29.666,26.779,25.492,24.444,23.928,23.702,23.6478,0.2385905074527468,7527,3955,5.934751,2462929.570285762,533.7944298193183,2.258251698537153,1.699579643995289e-05,-0.005180902290702,0.0128275369477565
29.808,26.571,25.177,23.634,22.882,22.55,22.4358,0.3820789933236365,7929,3215,4.819087,2462642.262995233,1098.4981539409305,1.5689263510357832,1.5461707769820152e-05,-0.012164887657848,0.0038480311090691
27.123,24.631,23.481,22.671,22.275,22.075,22.0418,0.4127177629451932,7884,6088,4.469988,2461837.680871633,518.4834129098915,2.7402649221087465,3.836649597466084e-05,-0.0056492016189096,0.0016916269537591
27.382,24.734,23.525,22.622,22.177,21.97,21.9338,0.350875594000728,6845,5994,2.563518,2462404.925699867,417.0827504733726,1.9093862875596492,8.143440437652819e-05,-0.0044902570324925,0.005481059713865
29.473,26.283,24.9,23.41,22.682,22.362,22.2548,0.4272215593621391,7915,7399,12.15367,2462098.430191512,67.98151237723445,0.7862586331745822,0.0001109662208049,-0.0018812536399574,0.0034106636107789
30.652,27.415,26.022,24.479,23.727,23.395,23.2808,0.3712386296236882,7522,6846,3.253563,2463093.526205164,360.9770485970007,1.7901832542451208,7.137856906846936e-05,-0.0037307103098616,0.001657931473997
26.093,23.619,22.51,21.956,21.681,21.528,21.4758,0.5083386846840536,7215,3701,10.82957,2462117.2847951115,364.208589048802,1.393703737992354,3.034186313901633e-05,0.0068840876822915,0.0100557198208528
24.087,21.84,20.953,20.656,20.527,20.441,20.4998,0.7033203132595943,7936,6116,8.762551,2462461.469318705,281.228676529559,1.6217675779756906,6.108690977833221e-05,0.0054889246864989,0.000872216345057
32.309,28.883,27.459,25.689,24.829,24.443,24.2958,0.2643340809188214,7928,7561,2.929596,2461549.9085096032,261.0528717945819,0.2986525945694397,7.40525684338085e-05,-0.0004455680474849,0.0028898509469853
26.613,24.143,23.011,22.368,22.047,21.875,21.8218,0.4722295511714108,6853,1315,12.14558,2462722.8688559188,606.8081605443284,0.3099020779851961,1.5881428853143213e-05,-0.0304533353193675,0.000370595165295
30.442,27.156,25.753,24.147,23.364,23.016,22.8918,0.3636245199132514,7276,7087,2.501822,2461601.4963206584,181.6277726720976,2.921845915894421,0.0001868136569569,-0.0010546967978223,0.0027509180023603
