u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN,theta_E,theta_s,M
15.369,14.551,14.803,15.038,15.176,15.22,15.9218,4.386853798824166,7918,5342,6.816561,2463292.172639385,3.477529926718407,2.181901005441975,0.03969979624376853,0.0004734731962594421,0.0008101773166332382,64.90019130678043,2.5765243710607804,8.896449727676755 jupiterMass
15.812,14.993,15.245,15.479,15.618,15.662,16.3638,4.301829177379891,7999,7255,8.607993,2462810.796059709,1.2415949754841962,0.2988901979923788,0.08547171701100949,-0.00011800694131388697,0.00042194414157746833,29.261165935121515,2.501002094218897,8.590821285718764 jupiterMass
16.828,16.01,16.262,16.496,16.635,16.678,17.3798,4.262389770419773,6964,4955,9.35981,2461844.6787794176,2.524330560565095,0.21741857094533923,0.04400154809524791,-0.0003767019802094809,0.0008173984829322636,64.68789712274547,2.8463676164269334,9.245274361153927 jupiterMass
15.492,14.664,14.914,15.147,15.289,15.332,16.0328,4.2672998539216405,7278,5849,5.560512,2462168.325052027,2.5175087868336936,2.081189202590335,0.07114463378010165,0.0007835227135289204,0.0003914744652267571,38.32618157233181,2.7267021521532273,5.628644267563533 jupiterMass
13.858,13.017,13.264,13.499,13.64,13.682,14.3828,4.272215593621398,7770,6554,4.66752,2461513.5699721114,2.6930073285020923,1.77719006398465,0.0743010985966476,-0.00010627277771051852,0.0006856744865644905,34.41386876366895,2.556988256101458,6.3798744151798275 jupiterMass
14.748,13.981,14.245,14.485,14.63,14.68,15.3878,4.341633512679538,7810,7307,3.015107,2463086.3763913894,3.487588716622717,1.3547442028533776,0.08979681852366593,0.0001987858181004282,0.00023284013744359137,28.78974169092449,2.5852272099631657,12.096199623026093 jupiterMass
14.513,13.726,13.986,14.224,14.364,14.41,15.1168,4.346634881449176,7427,6689,10.75542,2461904.3619355136,0.609789542110836,2.5405089615459797,0.15157207868318348,-0.0005909208289961513,0.0005790016358403643,17.95631112117653,2.7216754021186915,2.7919250406933838 jupiterMass
14.463,13.677,13.938,14.175,14.316,14.363,15.0698,4.242805868339574,7951,7135,3.771576,2462314.911010387,2.8019062262422456,0.5926558786973659,0.08577125477210946,8.262529873873723e-05,0.000490236713162012,28.93251821258268,2.481578390810126,7.48599090460408 jupiterMass
13.286,12.5,12.761,13.0,13.144,13.191,13.8968,4.316712857393403,7330,5431,4.944898,2462276.7904284466,5.125394997493764,2.7069606043261087,0.03946856383554512,-0.0006436996393594182,0.00024135140769703556,69.38961114939607,2.7387082971735923,12.983714967891272 jupiterMass
15.933,15.123,15.377,15.612,15.751,15.795,16.4978,4.218452476423339,3443,2672,5.634829,2461883.726633793,4.786961403846718,2.3438326265230938,0.07715468227013751,0.0009616298073508606,0.0006025820882470905,73.84999025400738,5.697872533700691,8.370882304264057 jupiterMass
