u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,m_planet,m_star,t0,te,u0,rho,piEE,piEN,s,q,alpha
29.601,26.474,25.107,23.698,23.008,22.705,22.6108,0.4567232925452075,7659,7585,3.256063,0.6408417903173175 jupiterMass,17.6159837535094 solMass,2463290.9024294703,47.95406409501139,0.5835169963355663,0.0006487086494893394,0.0028128627620615564,0.0009831375837820785,3.0715650978616424,3.472663726779498e-05,1.4718335938019316
32.166,28.715,27.287,25.486,24.612,24.219,24.0668,0.279031453169109,7712,4363,3.795269,0.4361650645080448 jupiterMass,18.863901678205874 solMass,2462368.0277826027,376.3263631881357,1.83907193057737,4.3029445471935176e-05,-0.004303696102983648,0.025086931992785878,0.8409409910529065,2.207182070500687e-05,0.8365378781713245
30.278,27.203,25.849,24.504,23.844,23.556,23.4698,0.434663488144918,7857,6306,9.093387,7.135027996922654 jupiterMass,8.654133329309662 solMass,2462454.143450384,59.68465456188329,1.5512053071295253,0.00017313898397907244,0.005428344231976774,0.0203556399071857,0.14512742915699528,0.0007870293102608559,1.478604028684158
30.377,27.346,26.007,24.72,24.087,23.811,23.7328,0.3742425475955393,7672,7318,6.616242,1.278270531178988 jupiterMass,54.42108476069238 solMass,2461809.9459801996,92.2854874131108,2.195290473676869,0.00013570210686574013,-0.002412099003498057,0.002899688030413252,1.4405814504713537,2.242200213174956e-05,3.085419292375966
30.666,27.514,26.141,24.701,23.997,23.688,23.5898,0.4277136996034717,6667,6534,7.007349,8.484658920633084 jupiterMass,22.62345409340989 solMass,2462990.703843335,39.10026113728242,1.127903616100565,0.00039771879574447506,0.0028640701435899037,0.002891771574268203,3.7373102748088374,0.00035800927875076597,1.1507419858715144
20.514,19.354,19.011,18.944,18.957,18.962,19.3478,1.1739596250505129,7644,4672,5.832351,11.798714453590707 jupiterMass,14.981893752367226 solMass,2461849.289845417,199.62766600861414,1.6439131037075925,0.00022405514269171488,0.0238881494888231,0.010531545590167038,0.5225906080197906,0.0007517731050434533,1.710057304184121
30.747,27.827,26.527,25.393,24.834,24.591,24.5308,0.251277244448159,7642,7405,7.592454,6.291587123203202 jupiterMass,17.987157195058803 solMass,2462693.7403509496,37.68642217187945,0.2890833929536204,0.0001951937309044187,0.0036383742497745008,0.0039170554165261886,3.2423670016335304,0.0003339000557561867,2.1008507717696934
29.669,26.613,25.265,23.945,23.297,23.014,22.9318,0.4136691756477602,7919,7253,3.348533,7.984280852442106 jupiterMass,80.21407349031708 solMass,2462702.1261715945,300.220008977489,1.055670055901722,8.826233587322691e-05,0.001504785573018378,0.003935001132076323,0.5402332815649301,9.501759644525433e-05,2.9068382720377097
29.758,26.704,25.358,24.036,23.384,23.099,23.0148,0.4593599848874324,7635,2456,6.504503,11.620199451781438 jupiterMass,17.850201353906105 solMass,2462928.6163586183,355.9195050928222,2.852554678513239,4.414332356300806e-05,-0.04151950549853148,0.013223891902137318,1.5813782588038898,0.0006214257853072744,0.3751887272678524
28.822,26.1,24.863,23.954,23.504,23.3,23.2608,0.3138001601271993,7890,5073,7.207567,0.5888355188008553 jupiterMass,69.80250522878774 solMass,2461731.708797389,320.5355851877341,2.0528389709209254,2.924139143224719e-05,0.006415076530036452,0.009091339990725656,0.8318243241754172,8.052705116546638e-06,2.0027982920345577
