u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN,s,q,alpha
31.754,28.307,26.88,24.963,24.022,23.589,23.4178,0.2421883011753912,7911,6522,11.08028,2461531.565846104,112.01357159842456,2.734626926219456,4.189741339868088e-05,0.0075948476848535,0.0022546242260994,0.2509553912453811,0.8325050228891453,1.2673628243857813
25.939,23.382,22.205,21.318,20.884,20.675,20.6458,0.3678350934093645,7593,7313,5.973732,2463301.729048463,100.03716951437262,0.9772741060870634,0.0001376954047041,0.0011395930467856,0.0028635695576957,1.8079921989616805,0.3842446733831044,0.1666439993634872
29.832,26.573,25.175,23.605,22.841,22.503,22.3858,0.3578105659216998,7721,7071,8.208267,2462248.995652744,75.71059410250459,1.6319762356487693,0.0001266654864694,-0.0066619028644905,0.0021409438463802,1.7435873802277848,0.2866413948439098,0.3289443327504737
30.323,26.993,25.582,23.925,23.12,22.762,22.6308,0.3297259747906977,7784,6510,6.41843,2461567.871616993,198.19898868886935,0.1390713311648858,5.655967512635216e-05,-0.0057198154994515,0.0044034219424826,0.2252937812244723,0.9035000879948926,2.130254710362215
31.687,28.393,26.982,24.942,23.897,23.393,23.1888,0.2336970126635446,7232,4658,7.201239,2462638.5529920254,377.0552877812815,2.7474259316533525,2.02147930140386e-05,-0.0094288739528934,0.0040918633799532,0.0244827171547676,0.4828338470549691,0.034251064632099
16.044,15.062,15.221,15.412,15.556,15.587,16.2428,1.7565202498158268,7509,3179,12.61494,2463300.6194062224,253.80971533599555,2.7489337760419583,0.0001240979025219,-0.0086069943747653,0.0188174763663313,0.7539868122878028,0.1554784801534036,1.2412672990243554
28.404,25.569,24.3,23.326,22.844,22.633,22.5828,0.2723661681384445,7686,6069,11.19207,2463036.7066861345,132.9363351000105,2.35139492686873,4.045623629952959e-05,-0.0076002555519872,0.0038283022165202,0.8905957956399443,0.3763178008533258,3.1255191352576266
18.349,17.184,16.862,16.806,16.826,16.832,17.2238,1.3401492290617625,7584,7133,5.313491,2462642.828212879,182.45681819115396,1.995775375971579,0.0003096004662743,0.0010712505736227,0.0029525867824314,0.4445953909855468,0.5440961944171551,1.2836441660546123
28.946,26.071,24.788,23.754,23.245,23.022,22.9688,0.2466909178647098,7602,7332,2.138352,2461896.4803879037,357.9998937324591,0.3961321862982233,7.200290466291021e-05,0.0011989356276278,0.0019759297224265,0.1442496434030228,0.4226750007891516,1.3181522138270534
30.452,27.163,25.757,24.15,23.368,23.022,22.8988,0.3452654812372508,7405,5264,8.858818,2461626.641065131,239.5634670298098,0.7454171655290044,3.731801585030929e-05,-0.0014310795659575,0.0093440455878641,0.1956998932456325,0.8656077163260948,2.649529724863439
27.066,24.539,23.372,22.488,22.057,21.847,21.8188,0.3759699727084929,7951,7843,3.937088,2462494.3086214964,79.11675879935663,0.4894917111033793,0.0002578544401572,0.0019801545167894,0.0004506910725626,3.0584135664172085,0.5120176737909558,2.190665675399673
30.136,26.796,25.383,23.715,22.904,22.543,22.4108,0.3316295036164739,5350,2259,2.269109,2463140.0673713805,1866.1543256756704,2.4706115607073773,2.4864703256126013e-05,0.0155122942117903,0.015685551315168,0.458716967196524,0.7563107264765697,0.523023833151197
28.365,25.58,24.327,23.388,22.924,22.717,22.6718,0.2928553490294936,7799,4645,5.173009,2462845.717043177,614.003595135729,2.914647586163051,2.0081072698412838e-05,-0.007802786899473,0.0062732048972725,0.2543499225674547,0.0796369826007513,1.0966298940788262
30.326,26.987,25.574,23.908,23.098,22.737,22.6048,0.3304860716630579,7731,3112,11.75893,2461625.1233500373,236.27516544635148,1.8725716578115112,2.613475435925872e-05,0.0246634221437626,0.0053607000901622,0.2280715284219218,0.6668333354767585,1.7286170993834018
