u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN
27.94,25.112,23.791,23.052,22.687,22.509,22.4888,0.2047166475288669,7708,3337,1.752341,2461690.3114704904,23.49919484437944,2.9608698509553,0.0010955360324143,-0.851078661435293,1.244040750394504
32.152,28.801,27.358,25.353,24.371,23.905,23.7048,0.2565388602143918,5443,3490,3.36806,2461890.998603639,10.04236378484068,1.1664415883974892,0.0023669325015833,1.057227934960575,0.3389389723956387
29.916,26.583,25.143,23.976,23.416,23.174,23.0758,0.3777053712534893,7715,4581,6.920123,2461578.033341904,3.5999658856445267,0.3311752994388417,0.0033380423885192,0.231700167243011,1.279299209783044
19.718,18.786,18.695,18.736,18.808,18.839,19.3448,1.236383386855867,6055,2758,9.62659,2462715.15472787,5.328538504356637,1.0271366778531708,0.0067615341446364,0.1337458378865036,1.3994124153274323
28.293,25.58,24.286,23.587,23.239,23.064,23.0568,0.2320882537441964,7359,6834,6.34443,2462931.031826321,1.64637474281395,0.3109197030188632,0.0051286122916848,-0.3644043362839242,0.0214474520421938
29.043,26.111,24.774,23.972,23.577,23.389,23.3508,0.2353169229669843,7353,7332,9.804669,2462096.847195166,0.2097902949689557,0.4941687954584811,0.026427560791228,0.0530652448862024,0.0443651760314757
29.051,26.223,24.904,24.156,23.785,23.605,23.5828,0.2131342086742481,6326,3573,1.706159,2461675.9581050654,9.065050183818697,0.1289404036535136,0.0037001648663109,-2.3737247904363934,1.6244771907974758
30.418,27.601,26.283,25.54,25.171,24.992,24.9708,0.2158505506275854,6203,5568,1.87217,2463276.242394412,0.4517947811519813,0.1232485921746997,0.0698798081443488,1.6362771285845488,7.768745651885028
31.947,28.15,26.643,24.738,23.883,23.507,23.3248,0.2911743809835831,7516,6965,3.480841,2462713.070523107,2.651099142885003,2.890424862329192,0.0071308787221924,0.2278648901929559,0.3487646154004351
20.543,19.505,19.164,19.079,19.078,19.08,19.4408,0.9008514063294036,7772,1832,10.36338,2462255.1058284803,4.24169612951258,1.2597412939529375,0.0044788468146182,3.2374432810406444,1.238878988511484
22.837,21.008,20.301,20.062,19.964,19.9,20.0318,0.6556214604151357,7994,4616,8.856994,2463076.433221583,3.3545128447515893,2.2149693462569573,0.0046887818064544,-1.0281637059906878,0.4575896126088916
29.565,26.37,24.967,23.882,23.355,23.124,23.0428,0.4437651171732517,7653,6905,9.913795,2461586.241487652,0.8958619192225326,2.742697743009672,0.011089890372065,0.021211109985332,0.5817373128105675
21.446,20.46,20.162,20.096,20.106,20.115,20.5008,0.9498459184293604,7989,7887,11.25468,2463201.6349326693,0.3997562398431686,2.136582196554403,0.0448868524382382,0.1305031389800952,0.0154871025194249
32.38,28.923,27.463,26.104,25.464,25.19,25.0718,0.3263271145566629,7203,5872,7.875777,2462703.9537382848,0.6222260832723718,2.351197805212209,0.0157030834557929,2.1149728367255585,1.0139286673966474
30.202,27.651,26.416,25.794,25.482,25.319,25.3208,0.2935304503313931,7889,5248,7.829759,2461874.448181926,2.3323333884196,1.7100733520670688,0.0034608198781873,-0.9981868846062586,0.7946368102832596
28.808,25.733,24.365,23.399,22.925,22.713,22.6488,0.3350835908865628,7158,6545,8.074174,2462241.9695233684,0.5042884570171307,0.6818260857052564,0.0195286018456864,0.6715337737902578,0.9626577746205558
32.12,28.333,26.828,25.043,24.245,23.902,23.7358,0.2979567035921873,7901,3828,4.599204,2462667.8883677693,8.245795187156629,0.5193904206408705,0.0016890507479072,0.430977683998674,1.223287372416264
18.861,17.911,17.67,17.633,17.66,17.677,18.0968,1.0355072904269975,5547,5436,3.640393,2461747.2187940856,1.4747668987164848,1.0622595575896077,0.0590622733193444,0.2087345743157659,0.1383840349195846
24.853,22.55,21.529,21.133,20.945,20.828,20.8178,0.513042284621807,5156,2817,5.147491,2462201.987502408,4.238591916375039,0.3482076456148921,0.0077465774378396,1.4539307154690535,2.270231837611658
31.281,27.886,26.439,25.122,24.496,24.228,24.1158,0.3293465821713889,7671,7377,8.064593,2461975.8178394204,0.8280737606516625,1.367999788237671,0.0109203489540682,-0.219005698327886,0.1810530295968983
20.045,19.115,18.927,18.916,18.959,18.984,19.4338,1.0993934896932336,7881,7642,15.75038,2463266.4257010715,0.0884367403338314,1.9430163401106948,0.1701119748583997,0.560711813664582,0.8765909125879177
30.222,26.938,25.516,24.314,23.735,23.484,23.3878,0.4023955421734648,7998,6743,5.844817,2462101.2437413726,2.1914266429604297,0.6978957284785049,0.0066720719583881,0.0070719541473283,0.6635549174665413
30.415,27.38,26.025,25.11,24.66,24.456,24.3988,0.2918456072539355,7373,6332,6.506373,2462389.521467837,1.8274168770580344,0.600568813023728,0.0056548248040683,-0.6812783851065203,0.0711354018341
31.394,28.058,26.623,25.37,24.77,24.512,24.4088,0.3541222058991056,7754,7745,10.81244,2462966.994826651,0.1008632006163531,1.9500876361024917,0.0711308051157024,-0.0108318344634988,0.0490086226517411
30.114,27.004,25.626,24.609,24.109,23.886,23.8138,0.4402031651201725,5956,1802,5.960676,2461638.656943512,12.074250226455565,1.5810813538153108,0.0017443338149606,1.6750806802608371,1.0258119873437097
23.147,21.805,21.309,21.159,21.116,21.091,21.3598,0.8028846610101843,7906,7438,5.560133,2462146.9435041766,0.9147635335471196,1.1799693825432451,0.0339147908545871,-0.5266634580576418,0.221939537331182
29.333,26.03,24.605,23.364,22.768,22.511,22.4118,0.3669890961706982,7933,6589,4.22735,2461644.6972115957,1.6456750545863488,0.7417487742509167,0.0112951038955893,-1.1830122524452122,0.6502833708275397
30.076,26.707,25.267,23.956,23.331,23.063,22.9538,0.3374062793762615,7898,7495,10.41112,2462490.795232298,0.8892748596880116,0.7759610810270438,0.0078377134311408,-0.0791351669301753,0.2566566416563882
29.784,26.976,25.672,24.897,24.514,24.33,24.3058,0.2229221181005165,7797,5011,3.552814,2463043.8193883286,7.568997051515859,1.754555267490475,0.0018059330041647,-0.2074448022347031,0.946043148704041
32.826,28.973,27.463,25.558,24.713,24.347,24.1688,0.282262485118154,7953,7676,6.64214,2461815.3121253583,0.4481533095709585,2.09545089427514,0.020252300423903,-0.2208337128682438,0.5110930904289104
