Source,Set,t0,u0,te,rho,s,q,alpha,piEN,piEE,Category,mass
0,1,2461740.687465243,2.543373372437856,1871.0726638030148,1.3759067289464777e-05,0.5747499798741171,9.006893638083202e-06,0.0805674088009452,0.0185027119527429,-0.0040020470897864,A,58.22711449314874 solMass
3,1,2462700.9404962934,0.6924854212776204,216.1201383314809,0.0001667086432406,1.7642811543003505,0.0003637546088273,0.9620077166293104,0.0107373475174726,-0.0329552699600883,A,20.179690306598655 solMass
4,1,2462502.5782793504,1.1730611608751975,18.46982060653714,0.0004571575394579,10.707425035038684,0.0017755612845747,1.132549391458668,0.031498846203047,-0.0081603296559182,D,1.2106947488160011 solMass
9,1,2462657.3940971848,2.0288117375394803,606.9511955395318,3.130055157294566e-05,0.7880452136597952,3.237023075033487e-05,0.9911835699978232,0.0229443752036719,0.0077720477875279,A,87.29147154159371 solMass
10,1,2462056.3494304903,2.126399916713628,130.0647215487551,0.0001209288622518,0.2602289585359282,0.000400780605815,0.1293727040049786,0.0110049976935882,-0.0268579179356355,B,13.342943313978438 solMass
12,1,2462045.9835002404,1.7006142905447952,31.39349687715764,0.0005715769549126,3.089261369484638,0.0001260120057058,0.5086851099860668,0.0015579364281861,-0.0006109632225297,B,70.98055500777109 solMass
15,1,2462938.7239418216,2.4779213053974214,73.98951528956724,0.0001331005947791,0.950641468758264,0.000306614649144,0.4132157259742644,0.0049646298772259,0.006272943601536,A,25.105394703045484 solMass
17,1,2462481.852976643,1.018339372246692,165.0193154316074,0.0005278356986665,2.3558530921534846,4.471046959732237e-06,2.611639258075648,0.0018883160579861,-0.0012015220050942,A,90.23402890328413 solMass
18,1,2462592.427461098,0.1474368375383864,351.03436333528964,9.353665605734084e-05,1.1478599290943858,0.0004842690847154,2.170221123244217,0.0058858226795134,-0.0320152930579978,A,18.661631122898523 solMass
20,1,2461565.495769047,1.9379619524984768,33.62100715832819,0.0004474627567634,0.8990563750721957,5.178891149470277e-05,1.065718604137805,0.0025882765093561,-0.0008903900955833,B,65.04045649450713 solMass
25,1,2461841.9596156185,0.9479634825106418,152.15817474931578,0.0002038931787448,0.034865045661834,0.0001260167750487,2.762076153933885,0.0030563022523248,0.0015698853342462,A,82.77852456391591 solMass
26,1,2462558.596227193,0.574159812369478,234.52931482065424,7.925691819867721e-05,1.0954180166699392,0.0001509338950979,2.5033927222323524,0.0077889039557732,-0.0053909457453304,A,35.18665522146789 solMass
31,1,2462400.380224577,0.3916914162520087,89.65683799505891,0.0003796487504089,0.8542762090690464,7.876223580199509e-05,3.0457952438865483,0.0017918014524313,0.0014255493290123,B,111.45991174690342 solMass
34,1,2462093.9701855727,0.2816444657263496,168.80386589629072,7.41488040189905e-05,1.187010553982767,0.0001445809301628,2.6677873657818627,0.0036018314106257,-0.0044481068492602,B,50.853972064389964 solMass
35,1,2463224.226015052,1.2488937998581098,99.95027594842786,0.0001678164088366,1.1118115619104405,0.0001222695844605,0.547800038488447,0.0014925741287286,-0.0023151750822049,B,65.52265332681336 solMass
36,1,2461812.7592839897,2.940688970764559,24.445352413607555,0.0006147889750509,3.0995998325180207,0.0039439749358186,3.1279931590334384,0.0198271053404071,0.0192197469359283,A,1.825458012028829 solMass
37,1,2462770.920157677,1.9552159785883885,130.55833258993002,7.247536682704243e-05,0.917995087884813,2.149706412819461e-05,0.4181521117965193,0.0113434457601901,0.0078212613614995,A,34.449127430313474 solMass
49,1,2463120.9727282813,2.580474694951759,370.0030989410945,1.3706053050868132e-05,0.0924422731455239,3.8902376353547856e-05,2.97829036614036,0.0152328027928214,-0.0301128928204219,A,70.04577046632997 solMass
51,1,2461551.2336074407,1.9776364857482092,179.64812102891813,4.015427028386469e-05,0.297988255497719,2.38495362258999e-05,2.5066798861580124,0.0045056986717748,-0.0016682560101193,A,109.12837812171486 solMass
52,1,2462029.1004638867,2.816535548732713,1040.5451458256837,2.991969010653349e-05,0.4600709183251316,7.981927125410491e-05,1.3703189028444724,0.005364873843646,-0.010334839523002,A,89.42383902561487 solMass
53,1,2463171.6339039337,0.7367194410004886,97.05400397258742,0.0002901143051355,3.057933263487759,0.0003353038909656,0.3124988525659452,0.0030412206735769,0.0072294871315609,B,17.45470716664039 solMass
57,1,2462934.664105012,0.052419808967236,79.98921233699903,0.0004975948102833,0.5510307713658911,0.0015854476629237,0.5752560476634293,0.0401612779157943,0.0464515933639026,A,7.047424021179053 solMass
60,1,2461749.5732498467,2.5909309571222177,530.100106763183,3.996196572054456e-05,0.9884981977435876,0.0003858056102102,1.0710528364468488,0.0341317227156987,0.0068968294043549,A,23.570402645618184 solMass
61,1,2462996.6760612144,0.6040613256983453,449.86241397284834,5.120476189474632e-05,1.2756682989281278,8.769451443276764e-05,1.9647376917269048,0.0011951969630845,-0.0116811666653433,A,37.34414327610098 solMass
66,1,2462909.321327294,2.861810454655333,91.45941550316252,0.0007027355254605,0.9816035346149268,0.0003134507536832,2.1781999891331694,0.0050534297765937,0.0012597066078842,A,27.508887161028603 solMass
67,1,2461682.2637793026,0.1040788322277351,115.06224111376802,0.0002534578646552,3.6253104179442937,0.0001409925638043,0.7653720652437112,0.0002781129584857,0.0025122037790949,A,45.41993083951186 solMass
68,1,2462618.732184028,1.7961557187479595,128.30019636007304,0.0001792221784267,0.1057430002337802,0.0001055180405342,0.2547790471043763,0.0015395289750879,0.0042771500609049,A,97.30956209059629 solMass
76,1,2461844.6756291687,2.928678122999262,318.41714026638,0.0001648867574141,0.4868729348328448,0.0002467530556294,0.5741336363323378,0.0061461689364079,-0.0318267192180507,A,31.97194786968491 solMass
77,1,2461981.6087202826,0.3982943750800596,366.604622080956,4.06308723033699e-05,0.5175814576077791,2.3124619950141537e-05,2.2871415028916404,0.0047683857489573,0.000216127087176,A,117.07098102146045 solMass
82,1,2463240.5994926025,2.61758548807864,1205.494102342923,3.042099064562928e-05,0.060977263293397,0.0001523890403207,2.4367162298949783,0.0185268372315412,0.0241222431724797,A,78.066155311111 solMass
83,1,2462113.297228036,1.4195780946709768,207.38754143633892,8.668661007775069e-05,0.3150253467377539,0.0001301205837811,2.833676978915586,0.0073716814110156,-0.0002599264933682,B,69.13008265670584 solMass
87,1,2461736.079692106,1.5599870035258996,142.9495363687767,6.30229750859898e-05,2.291203614940587,0.0007041565998628,0.4927105949588616,0.038273863060995,-0.0167556196435372,A,6.566764608667814 solMass
89,1,2462532.431669201,0.1850871016659814,203.1588690044487,0.0001247472309457,1.9149646522311548,0.0002616476308976,3.082843219176922,0.006434468520924,-0.010155387995262,A,26.781304569624563 solMass
91,1,2462992.036740271,2.485286876017436,225.3212200456544,0.0001350729338471,1.508965276270409,0.0005719666108064,1.2650621917152445,0.0385016346563998,0.0463823544088947,A,3.364989123903625 solMass
92,1,2461853.580590412,0.8889383030133784,499.0221777518136,2.261299115350624e-05,0.7639334729693893,0.0001275472601988,2.668262626640891,0.0152381771074073,0.000963484308623,A,72.30740903159509 solMass
95,1,2462565.191495013,2.591016543780777,646.9219821526938,3.642268491531663e-05,0.4294276885768673,7.438349329761961e-05,0.5732874754253676,0.0062401304541423,0.0100013089494081,A,118.52097372481194 solMass
97,1,2462230.167596873,2.621352259235016,90.97948451495785,0.0003247646008632,1.9969304549071,0.000686738204221,3.127688981851277,0.0183371255230683,-0.0013450420291324,B,13.184067455694565 solMass
101,1,2461998.5156311654,1.6446317604679943,831.2397053848622,5.49065002997032e-05,0.449844661333228,1.278611158996783e-05,1.0641673684379207,0.0087197410907494,0.0159035034048236,A,42.17885724659817 solMass
103,1,2462819.173482526,0.1822394581749207,163.05574672591263,0.0005978497882159,0.559561267781204,0.0001215970387827,0.2400347015945217,0.0036006781163238,0.0015624113558906,A,56.47354219926538 solMass
105,1,2461730.4703308046,2.208084232458302,219.1453905039932,6.987135364280694e-05,1.4336542261504743,0.0005096884997871,0.8651010179021245,0.0135834024323236,0.0192048770586748,A,22.23150334461472 solMass
106,1,2462068.4434749014,2.862405918175039,26.72179678925357,0.0005152388237478,2.9211736262809365,0.0001512391139222,0.5264749550893616,0.0056880127445179,0.0180025535261721,B,2.8178424925097008 solMass
107,1,2463300.881229027,2.395037127165215,115.79803401602808,4.808208124693986e-05,1.4217871571089828,0.0001295119355155,2.979794948703166,0.0020388039236538,0.0032979076632644,B,85.40806248392508 solMass
111,1,2462427.2574359924,0.2375396288445767,162.74502902105482,6.612184241111049e-05,0.0171933202818086,0.0003606489753094,0.1337263797136473,0.0116418971408945,-0.0025367208691406,A,27.558565856004815 solMass
113,1,2462006.0156071275,2.1434915925391835,79.87891307962866,0.0011445907718779,0.8792680362059143,0.0001370898091061,3.0753312032503035,0.000137391753163,0.0010032095404946,B,85.60388801473368 solMass
117,1,2462986.000777624,2.601809040940277,917.7282514583272,3.347728220213372e-05,0.65353090400943,6.37280689964013e-05,1.125258950476148,0.0012597192260492,0.0124700219211418,A,119.83224377215022 solMass
118,1,2462065.995909675,2.5792828686479456,517.9587290065149,3.9446979687808445e-05,0.1880478994457296,0.0001501794795711,2.5869509125734336,0.0068139015130618,-0.0081037210152561,A,77.42126307946968 solMass
123,1,2462959.6780727743,1.5032643245133488,239.7986919442246,2.991999500870623e-05,1.1563301325682422,8.492918872990693e-05,0.8607360884267957,0.022340454734675,-0.0061206019933051,A,36.998000504484544 solMass
126,1,2461863.534216188,2.277010496462202,47.33548000291547,0.0010323863786936,3.375706219128214,3.476154815205446e-05,0.2068039810962841,0.0010467310493904,-0.0009436773827719,A,66.35494417582746 solMass
127,1,2461981.721916807,1.9416244117583332,25.6162178068233,0.0004286953561927,0.6469217417470617,0.0004298314857312,2.5488827523122946,0.0022575082086245,0.0036983253590363,B,23.430353092521905 solMass
128,1,2462709.548325075,0.221924099832202,16.620983459929164,0.0008369266018528,3.108010951143734,0.0002641097032459,1.478659038010447,0.0007675653470248,-0.0017998439408103,B,29.295486448845427 solMass
130,1,2462956.760512869,2.313041761547584,24.61318504753089,0.0030458219066153,0.4094414445644396,0.0002325754885616,1.9794505602734385,0.0017188615512738,-0.0015332225916551,A,25.01132199338053 solMass
132,1,2463272.936919716,0.0089833273134686,1088.0336274328986,1.9171729903550703e-05,0.402556294199055,6.15438148895143e-05,1.377901702014341,0.0101805784695612,0.0060236946819936,A,116.99731964943376 solMass
133,1,2462003.4389419067,1.7408321559864448,62.76782016407236,0.0001186462013529,1.8217708015437544,0.0001487537942952,0.7836738451280345,0.0021918494997031,0.0011288188419951,B,63.40199570863993 solMass
134,1,2461665.42771748,1.07617133051749,23.05816329822956,0.0014497840055995,5.644083652445043,5.425096619005766e-05,0.3390752778787188,0.0024711196110521,-0.000777074252471,A,23.67850707107222 solMass
135,1,2461894.994734939,1.6573889148190528,118.67348779816076,6.059500473315241e-05,0.9844680811705592,0.0001004950786787,3.1056667781498706,0.0037162335383061,-0.0058323478203938,A,56.12988557800436 solMass
136,1,2462703.806805875,2.9524726945095594,156.95212365948507,0.0001780576039738,0.1006298798123758,0.0001162209026721,2.511147510198962,0.0092591795268586,0.0021926424447458,A,42.25822975627947 solMass
137,1,2462007.1567064845,1.8942643254792284,328.746136002002,0.0001262447118335,0.7320922348579971,0.0001227762220228,0.7064453529505708,0.0039964111898209,-0.0105761623190568,A,82.07810715282413 solMass
138,1,2461655.6488223625,1.1629130116140465,534.9076367302181,3.168126597410688e-05,0.5292958152373031,4.787451852364098e-05,1.166585179580046,0.0116305520448416,-0.0008972024364307,A,83.19332045384576 solMass
140,1,2462995.471466276,0.9716137265374384,214.2498895617505,9.081498659191572e-05,0.4021190530473061,0.0001963738809808,2.073594486157384,0.0062352288479136,-0.0001422473150774,A,59.0580660480755 solMass
142,1,2462560.06466613,1.8717748353424768,320.9182378851659,0.0001409520851983,0.639457611498743,1.7487128605652844e-05,1.5148284278715314,0.0019217796150748,-0.003133106614917,A,102.68292178300185 solMass
144,1,2462640.2766823843,2.901889356307459,499.9357687224888,3.411478059274355e-05,1.0925448835167508,0.0006899310989327,2.5268178368747702,0.0500944260267605,0.0479546426780486,A,17.70814656653014 solMass
150,1,2463312.135560085,0.3995084851449849,315.02241649221804,2.5474259904616628e-05,0.2347281566389658,4.167245206793225e-05,0.4906898901143831,0.0013863185720434,-0.0143853213615802,B,84.56626126983979 solMass
151,1,2462807.785479708,1.209590800487956,72.52941634673232,0.0002871622102751,0.9693574668439554,0.0002112980973891,2.9567772919562465,0.0026257747346806,-0.0061227282517324,A,14.63260376726775 solMass
156,1,2462879.421150349,1.830395948862047,624.1354136415467,3.842545479128745e-05,0.0684597915837366,5.813749969115025e-05,1.7790121460150246,0.0213414377528243,-0.0274234349343189,A,62.04547755890278 solMass
159,1,2461918.340793293,2.700005018550037,245.92145125481997,5.392795803989515e-05,0.8842160761476319,9.027254672254384e-05,3.040870390499931,0.0116344225182706,0.0252373939384775,A,35.64917709077026 solMass
161,1,2461656.547471788,2.6027038122511645,315.7306859766406,4.021558645330066e-05,0.6553129325665783,7.065079942625751e-05,2.345862889328773,0.0082398262477386,-0.0027341728877678,A,95.8483373526178 solMass
163,1,2462500.727565221,1.6744289171555222,95.96081741453004,0.0003935471697217,1.1892791833062786,5.652813790267661e-05,1.9468166508493483,0.0020468969132755,0.0001734618724279,A,112.03280863569208 solMass
